"","Bloque.x","Tratamiento.x","Individuo","hTallo.1","DTallo.1","ACob.1","hTallo.2","DTallo.2","ACob.2","hTallo.3","DTallo.3","ACob.3"
"79","B2",2,308,3.7,10.2,829.576810088555,4.5,9.5,1452.20120412188,6,9.4,1486.16967468882
"80","B2",2,309,4.3,10.3,907.92027688745,6.5,11.4,1194.59060652752,9.5,12.5,2551.75863287831
"81","B2",2,310,4.2,9.8,1017.87601976309,6.7,11.3,1256.63706143592,9,11.1,1625.97054777357
"82","B2",2,311,4,10.2,829.576810088555,4.5,10.7,989.798035421634,8,10.4,2507.1872871055
"83","B2",2,312,5.3,14.6,1194.59060652752,7,15.3,1520.53084433746,9,13.2,2596.72267773281
"84","B2",2,313,5.8,13.8,1809.55736846772,6.3,13.4,2332.82889483127,8.5,12,2002.96166620434
"85","B2",2,314,4.3,10.1,471.435247579318,3.5,9.6,1320.25431267111,6.5,9.6,2123.7166338267
"86","B2",2,315,3,6.9,397.607820219958,4.5,6.1,397.607820219958,7.5,6.7,452.38934211693
"87","B2",2,316,3.7,10.2,804.247719318987,4.5,9.8,1452.20120412188,11,9.2,1698.22717880613
"88","B2",2,317,4,10.2,433.736135736241,5,10.4,1256.63706143592,10,11.5,2642.07942166902
"89","B2",2,318,3.7,12.5,907.92027688745,3,13.6,706.858347057703,10,12.5,2922.4665660019
"90","B2",2,319,4.5,11.6,1075.21008569111,8.2,11.5,2827.43338823081,12,11.5,2375.82944427728
"91","B2",2,320,7,12.8,1555.2847130678,9.3,15.2,3067.96157577128,12,14.2,3631.6811075498
"92","B2",2,321,4.3,10.5,779.311327631118,4,10.8,1320.25431267111,8,12.8,1847.45282985165
"93","B2",4,322,2,9,593.95736106932,2,9.5,754.767635024948,2,10,1075.21008569111
"94","B2",4,323,2.5,6.3,380.132711084365,3,7,551.545860245858,5,7,907.92027688745
"95","B2",4,324,2.5,9.4,593.95736106932,5,11.2,1520.53084433746,7,10.4,2419.22269280499
"96","B2",4,325,3.8,10.6,816.863177318559,5.5,11.2,1352.65198691126,9,10.9,2642.07942166902
"97","B2",4,326,4.2,9.2,962.112750161874,2.5,11.2,855.298599939821,4,11,1520.53084433746
