"","Individuo","Bloque","Trat","df.tallo.12","df.alt.12","df.cob.12","df.tallo.13","df.alt.13","df.cob.13","df.tallo.23","df.alt.23","df.cob.23"
"22",245,"B2",6,0,0,408.210695425824,0.6,0.3,1187.52202305694,0.6,0.3,779.311327631118
"23",245,"B2",6,0,0,408.210695425824,0,0.5,1086.79470860122,0.6,0.3,779.311327631118
"24",245,"B2",6,0,0,408.210695425824,0.6,0.3,1187.52202305694,0,0.5,678.584013175395
"25",245,"B2",6,0,0,408.210695425824,0,0.5,1086.79470860122,0,0.5,678.584013175395
"26",246,"B2",6,2.1,1.9,773.028142323938,2.4,5.2,2470.07722388497,0.300000000000001,3.3,1697.04908156104
"27",247,"B2",6,0.0999999999999996,0.4,363.835699193868,1.5,3.2,1917.35326639402,1.4,2.8,1553.51756720015
"28",248,"B2",6,2.1,0.3,640.884901332318,2.8,4,1980.97051762921,0.699999999999999,3.7,1340.0856162969
"29",249,"B2",6,0,1.1,24.5436926061702,0,3.3,871.202912748619,0,2.2,846.659220142449
"30",251,"B2",6,0,0.3,368.155389092554,0,0,495.831678029851,0,0,127.676288937298
"31",252,"B2",6,0,0.5,181.770587441297,0.2,3.3,382.047119107646,1.3,2.8,200.276531666349
