,Bloque.1,Bloque.2,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
404,B4,6,538,5.7,15,36,34
412,B4,6,539,5.2,12.9,49,45
400,B4,6,540,4.2,12.5,35,31
401,B4,6,541,4,14,39,32
397,B4,6,542,3.5,10.8,29,25
398,B4,6,543,5.5,11.7,32,31
413,B4,6,544,4.5,13.1,47,46
403,B4,6,545,4.5,12.1,47,33
315,B4,2,546,4.5,11.5,44,30
316,B4,2,547,4.8,12.7,35,31
317,B4,2,548,4.5,8.6,34.5,32
328,B4,2,549,6.2,13.3,52,45
312,B4,2,550,4.2,9.2,35,28
322,B4,2,551,4,13,37.5,35
310,B4,2,552,3.5,11.6,33.5,26
320,B4,2,553,3.7,10.6,39,33
323,B4,2,554,5.5,10.9,38,35
319,B4,2,555,3.7,11.2,33,33
311,B4,2,556,4.5,11.5,33,28
326,B4,2,557,5,11.9,32.5,40
324,B4,2,558,5.5,12.5,40,35
313,B4,2,559,3.5,9.7,32,29
327,B4,2,560,5.5,11.2,47,43
325,B4,2,561,5,10,40,36
321,B4,2,562,4.2,12.2,37,34
318,B4,2,563,4.5,12,38,32
314,B4,2,564,3.7,10.7,35,30
382,B4,5,565,4,10.4,33,28
377,B4,5,566,3.5,7.8,28,27
383,B4,5,567,4.7,10.6,35.5,28
380,B4,5,568,2.8,7.2,26,28
381,B4,5,569,3,10.7,29,28
376,B4,5,570,4.5,9.2,34.5,25.5
385,B4,5,571,3.5,8.4,32,32
390,B4,5,572,3.7,9.5,39,34
389,B4,5,573,3.8,8.2,35.5,34
393,B4,5,574,3.8,10.5,38,40
375,B4,5,575,3.7,7.7,26,23
374,B4,5,576,3,7.6,31.5,21.5
388,B4,5,577,2.5,10.2,35,34
394,B4,5,578,4.8,12.6,36,44
392,B4,5,579,4,11.1,45,39
387,B4,5,580,4.5,10.9,36,33
379,B4,5,581,3.2,8.7,30,27
395,B4,5,582,2.8,10.9,43,48
384,B4,5,583,4.5,10.8,33,29.5
386,B4,5,584,4.2,9.6,36,33
378,B4,5,585,5.2,11.2,28,27
391,B4,5,586,4.3,10.4,42,38
352,B4,4,587,2.3,5.1,18,11.5
350,B4,3,588,4,12,38,32
361,B4,4,589,4.5,11.8,35,32
360,B4,4,590,4,11.8,35,31
357,B4,4,591,3.5,8.2,35,28
370,B4,4,592,4,12,40,37
362,B4,4,593,3,11.3,33,33
369,B4,4,594,3,11.8,41,36
368,B4,4,595,3.5,11.8,41,35
354,B4,4,596,3.5,9.3,31,24
355,B4,4,597,3.2,7.6,32,25
364,B4,4,598,4.5,10.4,37,33
371,B4,4,599,4.3,11.5,41,38
365,B4,4,600,2,9.1,35,34
353,B4,4,601,3.5,11.2,36,18
366,B4,4,602,5.3,11.6,47,34
359,B4,4,603,3.5,9.8,33,30
373,B4,4,604,5,15.2,49,44
363,B4,4,605,4,10,34.5,33
372,B4,4,606,4,11.8,42,38
356,B4,4,607,2.3,9.1,41,25
358,B4,4,608,2.8,8.7,35,28
367,B4,4,609,4.3,12,39.5,35
338,B4,3,610,2,5,26,18
336,B4,3,611,2,6,23,17
330,B4,3,612,3,7.4,22,13
345,B4,3,613,4.2,7.5,27,26
332,B4,3,614,2.3,4.6,21.5,15.5
347,B4,3,616,2.5,8.4,27,27
346,B4,3,617,3.4,7.8,27,26
340,B4,3,618,1.7,6,24,21
342,B4,3,619,1.5,7,25,23
349,B4,3,620,3.8,6.1,30,29
344,B4,3,621,2.3,7.5,27,26
351,B4,3,622,3.2,8.1,33,33
339,B4,3,623,2.2,4,22,21
337,B4,3,624,2.2,4.8,16.5,18
348,B4,3,625,2.7,9.4,25.5,29
341,B4,3,626,2.5,6,29.5,22
343,B4,3,627,2.8,7.3,32,23.5
333,B4,3,628,3.3,5.5,20.5,16
329,B4,3,629,1,3.5,14,7
334,B4,3,630,1.5,5.3,27,16
331,B4,3,631,1.8,4.1,15,14
335,B4,3,632,1.8,4,20,17
300,B4,1,633,2.8,7.2,19,18
306,B4,1,634,2.5,12.3,28,23.2
301,B4,1,635,2.4,8,20,19.3
307,B4,1,636,2.4,9.4,28,23.5
296,B4,1,637,3,6.3,19,16
297,B4,1,638,2.8,5.9,21.3,16
305,B4,1,639,3.5,10,26,23
298,B4,1,640,2,8.3,18,16.5
