,Bloque.1,Bloque.2,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
449,B5,1,689,2.2,6.2,23.5,23.5
453,B5,1,690,3.3,7.7,30,25
448,B5,1,691,3,7.5,24,22
439,B5,1,692,2.7,6,24.5,16
436,B5,1,693,2.2,5.3,17.5,12
452,B5,1,694,2.8,8.9,29,25
451,B5,1,695,2,9.3,30,24
440,B5,1,696,3.2,8,19,18
454,B5,1,697,2.7,9.2,28,27
456,B5,1,698,3.7,12.2,40,38
447,B5,1,699,2,6.7,30,21
435,B5,1,700,2,3,10.5,9.5
441,B5,1,701,1.2,10.5,22,18
455,B5,1,702,3.2,7.3,28.3,27
438,B5,1,703,3.9,1.7,19,15
437,B5,1,704,1.6,4.5,17,14
446,B5,1,705,3,8.1,27,21
450,B5,1,706,2.3,7.2,26.5,24
445,B5,1,707,2,5.8,21,20.5
443,B5,1,708,3,6,22,20
434,B5,1,709,1.3,3.1,7,5
478,B5,3,710,2,3.2,10,10
480,B5,3,711,3.3,6.3,26,11
484,B5,3,712,3,3.6,20,15
506,B5,4,712,3.1,8.3,27,26
473,B5,3,713,1.5,3,5,6
479,B5,3,714,8.7,2.8,12,11
488,B5,3,715,2.5,6.4,24,18
477,B5,3,716,1,4.3,9,9.7
486,B5,3,717,1.7,7.4,14,16.5
481,B5,3,718,2,4.4,17,12
487,B5,3,719,2.5,4.9,18,17
485,B5,3,720,2.3,5.3,24,16
490,B5,3,721,2,5.1,18,20
474,B5,3,722,2,2.8,9,8
475,B5,3,723,2.2,3.2,12.5,8
472,B5,3,725,2,4.7,19.5,1
493,B5,3,726,3.2,5.4,29,24.5
491,B5,3,727,3,6.1,24.5,21
476,B5,3,728,1.2,2.9,13,9
489,B5,3,729,6.5,7.1,24,18
492,B5,3,730,2.9,7,29,22
483,B5,3,731,2.5,3.7,16,14
482,B5,3,732,3.3,3.5,17,13
458,B5,2,733,2.3,4.1,11,9
462,B5,2,734,3.5,11.1,36,22
466,B5,2,735,3.2,9.8,35,32
463,B5,2,737,3,9.5,28,23
465,B5,2,738,3.2,7,34,32
457,B5,2,739,1,4.7,7,5
464,B5,2,740,2,9.8,30,27
470,B5,2,741,4.3,13.8,44,44
461,B5,2,742,2.5,5.2,17,18
467,B5,2,743,3.5,10.2,45,32
459,B5,2,744,3.5,5.9,15,10
460,B5,2,745,1.7,6.4,20,17
468,B5,2,746,1.7,9.5,39,33
469,B5,2,747,4.6,9.1,40,34
560,B5,7,748,2.3,7.5,29,25
565,B5,7,749,4.5,8,37,33
561,B5,7,750,2.1,8.6,29,27
569,B5,7,751,3.5,11.1,42,42
563,B5,7,752,3,9.9,36,32
566,B5,7,753,2.8,9.7,39,38
564,B5,7,754,5,13.7,40,32
555,B5,7,755,1.1,2.6,9,7.5
570,B5,7,756,4.7,13.7,47,44
567,B5,7,757,4.7,9.6,40,39
559,B5,7,758,2.7,7.95,34,24
568,B5,7,759,3.7,8.5,44,40
556,B5,7,760,2.7,3.5,18,15
562,B5,7,761,2.7,6.6,32,27
558,B5,7,762,5.3,4.3,31,23
557,B5,7,763,2.5,5,19.6,18
499,B5,4,764,3,6.6,28,23.5
514,B5,4,765,3.5,9.6,39,34
501,B5,4,766,2.3,7.8,25,24
515,B5,4,767,3.2,7.9,36,35
507,B5,4,768,3.5,9.5,28,27
510,B5,4,769,4,9.7,36,30
497,B5,4,770,11.7,6.4,28,22
503,B5,4,771,3.2,6.6,28,24
509,B5,4,773,3.2,8.5,35,30
512,B5,4,774,3,9,36,32
513,B5,4,775,3.5,9.5,39,33
511,B5,4,776,3,9.2,35,32
516,B5,4,777,2,10.1,29,32
508,B5,4,778,3,10.7,38,27
504,B5,4,779,2,6.9,28,24
498,B5,4,780,3.5,8.8,27,23
500,B5,4,781,3,6.4,25,24
496,B5,4,782,2.2,9.9,27,19
505,B5,4,783,3,7.6,34,24
502,B5,4,784,2.5,7.4,26,24
495,B5,4,785,2.5,7.8,22,17
188,B3,2,915,3.3,12.2,19,39
170,B3,1,950,4,11.7,32,45
