"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob"
"138","B2",7,280,5,11.9,45,34,19.75,1225.41748444087
"139","B2",7,282,3,10.8,40,35,18.75,1104.46616727766
"140","B2",7,299,4.5,9.2,43,37,20,1256.63706143592
"141","B2",7,281,5,12.9,49,37,21.5,1452.20120412188
"142","B2",7,297,4.5,11.9,42,39,20.25,1288.24933751266
"143","B2",7,293,5,11.9,43,41,21,1385.4423602331
"144","B2",7,284,2.5,12.6,53,41,23.5,1734.94454294496
"145","B2",7,288,5,8.2,48,43,22.75,1625.97054777357
"146","B2",7,299,5,11.4,47,44,22.75,1625.97054777357
"147","B2",7,285,6,13.8,56,48,26,2123.7166338267
"148","B2",7,287,6.5,10.2,52,49,25.25,2002.96166620434
"149","B3",1,456,2.7,7.9,27,25,13,530.929158456675
"150","B3",1,445,6.5,8.9,36,25,15.25,730.616641500476
"151","B3",1,447,5.5,8.7,36,30,16.5,855.298599939821
"152","B3",1,463,3.2,10.6,44,33,19.25,1164.15642769587
"153","B3",1,453,3.5,11.4,45,35,20,1256.63706143592
"154","B3",1,446,5.5,9.8,38,36,18.5,1075.21008569111
"155","B3",1,455,7.5,10.4,49,37,21.5,1452.20120412188
"156","B3",1,454,6,11.4,47,38,21.25,1418.62543263664
"157","B3",1,458,5.3,13.3,44,40,21,1385.4423602331
"158","B3",1,449,3,10.4,46,40,21.5,1452.20120412188
"159","B3",1,452,7,12.5,53,40,23.25,1698.22717880613
"160","B3",1,461,4,10.1,42,41,20.75,1352.65198691126
"161","B3",1,459,6.5,10.8,45,42,21.75,1486.16967468882
"162","B3",1,448,5.5,9,53,42,23.75,1772.05460616549
"163","B3",1,457,4.5,11.6,51,44,23.75,1772.05460616549
"164","B3",1,451,5.5,11,61,44,26.25,2164.75368786422
"165","B3",1,462,5.5,12.5,46,45,22.75,1625.97054777357
"166","B3",1,460,8,10,51,46,24.25,1847.45282985165
"167","B3",1,464,6.5,13.1,64,50,28.5,2551.75863287831
"168","B3",1,915,7,11.3,55,53,27,2290.22104446696
"169","B3",1,450,5.5,11.1,60,55,28.75,2596.72267773281
"170","B3",2,498,2.5,5.9,25,23,12,452.38934211693
"171","B3",2,488,8,13.8,46,37,20.75,1352.65198691126
"172","B3",2,487,7,13.4,47,40,21.75,1486.16967468882
"173","B3",2,494,7.3,13.2,48,42,22.5,1590.43128087983
"174","B3",2,499,8.5,14.6,50,45,23.75,1772.05460616549
"175","B3",2,504,6.5,15.5,50,46,24,1809.55736846772
"176","B3",2,503,6.2,15.4,55,48,25.75,2083.07227887088
"177","B3",2,950,5.3,11.2,59,48,26.75,2248.00589318435
"178","B3",2,500,7.5,12.2,49,49,24.5,1885.74099031727
"179","B3",2,492,7.5,14.5,53,49,25.5,2042.82062299676
"180","B3",2,495,5.3,10.6,58,49,26.75,2248.00589318435
"181","B3",2,491,4.7,11.7,64,49,28.25,2507.1872871055
"182","B3",2,496,6,12.3,68,49,29.25,2687.82886468692
"183","B3",2,493,7.5,16.9,59,50,27.25,2332.82889483127
"184","B3",2,497,7,12.7,56,53,27.25,2332.82889483127
"185","B3",2,489,7,10.8,56,54,27.5,2375.82944427728
"186","B3",2,505,6.5,12.3,66,54,30,2827.43338823081
"187","B3",2,502,10,14.4,67,55,30.5,2922.4665660019
"188","B3",2,501,8.5,17.3,57,56,28.25,2507.1872871055
"189","B3",2,490,9.7,16.3,68,57,31.25,3067.96157577128
"190","B3",2,506,7.5,12.1,77,60,34.25,3685.28453220168
"191","B3",3,397,2,4.6,14,13,6.75,143.138815279185
"192","B3",3,396,3.5,5,22,15,9.25,268.802521422777
"193","B3",3,391,1.5,4.2,17.5,16.5,8.5,226.980069221863
"194","B3",3,395,3,4.8,18,18,9,254.469004940773
"195","B3",3,398,4,5.7,21.5,21,10.625,354.65635815916
"196","B3",3,394,2.2,3.6,26,24,12.5,490.873852123405
"197","B3",3,387,4,5.5,38.5,26,16.125,816.863177318559
"198","B3",3,386,3.7,6.8,39,28,16.75,881.413088872786
"199","B3",3,389,2.5,6.1,29,29,14.5,660.519855417254
"200","B3",3,390,3.5,6.8,37,31,17,907.92027688745
"201","B3",3,393,4.5,8.5,45,34,19.75,1225.41748444087
"202","B3",3,388,3.5,6.8,42,36,19.5,1194.59060652752
"203","B3",3,392,5,8.3,41,38,19.75,1225.41748444087
"204","B3",3,384,5,10,40,39,19.75,1225.41748444087
"205","B3",3,385,3.5,7,46,42,22,1520.53084433746
"206","B3",4,481,5,9.2,36,28,16,804.247719318987
"207","B3",4,473,7.5,11.2,54,33,21.75,1486.16967468882
"208","B3",4,476,6.2,13,43,40,20.75,1352.65198691126
"209","B3",4,474,6,12.7,48,40,22,1520.53084433746
"210","B3",4,484,6.5,13,60,40,25,1963.49540849362
"211","B3",4,471,1,12.5,43,42,21.25,1418.62543263664
"212","B3",4,469,9.5,13.4,50,42,23,1661.902513749
"213","B3",4,468,5,11.3,54,42,24,1809.55736846772
"214","B3",4,467,6.5,10.8,45,43,22,1520.53084433746
"215","B3",4,478,4,9.9,47,43,22.5,1590.43128087983
"216","B3",4,475,4.5,10.8,50,43,23.25,1698.22717880613
"217","B3",4,482,7,11.7,48,45,23.25,1698.22717880613
"218","B3",4,465,4.3,8,55,45,25,1963.49540849362
"219","B3",4,466,6.5,12.3,51,47,24.5,1885.74099031727
"220","B3",4,477,7,12.1,52,47,24.75,1924.4218498646
"221","B3",4,472,9,14.6,50,48,24.5,1885.74099031727
"222","B3",4,479,7,9.1,60,49,27.25,2332.82889483127
"223","B3",4,470,9,14.4,62,49,27.75,2419.22269280499
"224","B3",4,486,7,11.7,66,51,29.25,2687.82886468692
"225","B3",4,483,5.5,14.2,53,52,26.25,2164.75368786422
"226","B3",4,480,6.5,12.8,60,53,28.25,2507.1872871055
"227","B3",4,485,7.5,11.4,66,54,30,2827.43338823081
"228","B3",5,403,4.5,10.7,41,33,18.5,1075.21008569111
"229","B3",5,420,5.9,13.2,53,36,22.25,1555.2847130678
"230","B3",5,415,7.3,13.4,47,39,21.5,1452.20120412188
"231","B3",5,399,8,13.1,55.5,41,24.125,1828.45601177447
"232","B3",5,406,7.5,10.5,49,43,23,1661.902513749
"233","B3",5,400,8.5,12,57,43,25,1963.49540849362
"234","B3",5,416,9,12,56,43.5,24.875,1943.9095417939
"235","B3",5,405,4.5,10,47,45,23,1661.902513749
"236","B3",5,418,5.5,12.9,57,45,25.5,2042.82062299676
"237","B3",5,417,7,12.9,58,45,25.75,2083.07227887088
"238","B3",5,419,8,12.5,47,46,23.25,1698.22717880613
"239","B3",5,414,9,11.9,48,46,23.5,1734.94454294496
"240","B3",5,402,10,13.5,60,47,26.75,2248.00589318435
"241","B3",5,404,9,14.5,52,49,25.25,2002.96166620434
"242","B3",5,410,10,14.5,68,50,29.5,2733.97100678652
"243","B3",5,411,9.5,11.7,53,51,26,2123.7166338267
"244","B3",5,409,8,17.2,54,54,27,2290.22104446696
"245","B3",5,407,7.2,12.4,55,54,27.25,2332.82889483127
"246","B3",5,408,6,13.3,59,57,29,2642.07942166902
"247","B3",5,412,9,13.5,59,57,29,2642.07942166902
"248","B3",5,413,8,14.7,66,57,30.75,2970.57220351
"249","B3",5,401,6.6,11.3,68,58,31.5,3117.24531052447
"250","B3",6,429,5.7,10.6,35.5,25.5,15.25,730.616641500476
"251","B3",6,421,5.2,11.1,32.5,29,15.375,742.6430508775
"252","B3",6,434,4,10.4,35,32,16.75,881.413088872786
"253","B3",6,426,5,8.6,35,32,16.75,881.413088872786
"254","B3",6,441,5.7,9.7,38,33,17.75,989.798035421634
"255","B3",6,444,5.5,10.1,46,33,19.75,1225.41748444087
"256","B3",6,427,3,10.9,37,34,17.75,989.798035421634
"257","B3",6,428,7,13.6,39,34,18.25,1046.34670318625
"258","B3",6,439,5.5,10.2,41,34,18.75,1104.46616727766
"259","B3",6,435,5,10,42,34,19,1134.11494794592
"260","B3",6,432,4,9.3,40,35.5,18.875,1119.24147022658
"261","B3",6,433,5,10.8,46,36,20.5,1320.25431267111
"262","B3",6,442,5.2,10.6,51,36,21.75,1486.16967468882
"263","B3",6,443,6.5,9.7,43,37,20,1256.63706143592
"264","B3",6,425,7.3,9.5,45,39,21,1385.4423602331
"265","B3",6,424,6,10.8,47,39,21.5,1452.20120412188
"266","B3",6,422,3,9.1,44,42,21.5,1452.20120412188
"267","B3",6,430,6.5,8.3,45,42,21.75,1486.16967468882
"268","B3",6,431,5,13,48,44,23,1661.902513749
"269","B3",6,436,6.3,12.3,48,47,23.75,1772.05460616549
"270","B3",6,440,6.3,9.8,52,48,25,1963.49540849362
"271","B3",6,433,7,10.9,60,50,27.5,2375.82944427728
"272","B3",6,437,7,10.9,60,50,27.5,2375.82944427728
"273","B3",6,423,6.3,10.9,52,51,25.75,2083.07227887088
"274","B3",7,383,6.5,11.6,34,33,16.75,881.413088872786
"275","B3",7,382,7,13,49,33,20.5,1320.25431267111
"276","B3",7,370,4,9.2,39,35,18.5,1075.21008569111
"277","B3",7,371,4.5,11.9,45,37,20.5,1320.25431267111
"278","B3",7,374,8.2,12,52,39,22.75,1625.97054777357
"279","B3",7,379,7.5,13.5,47,40,21.75,1486.16967468882
"280","B3",7,381,5.5,13,50,40,22.5,1590.43128087983
"281","B3",7,375,7.3,12.8,54,48,25.5,2042.82062299676
"282","B3",7,376,6,10.5,54,49,25.75,2083.07227887088
"283","B3",7,372,7,11.5,57,49,26.5,2206.18344098343
"284","B3",7,380,7.3,9.8,52,51,25.75,2083.07227887088
"285","B3",7,373,8,13.3,71,52,30.75,2970.57220351
"286","B3",7,377,6.5,13.2,56,54.5,27.625,2397.47698115592
"287","B3",7,378,8.3,13.4,58,55,28.25,2507.1872871055
"288","B3",7,369,7.5,12.1,65,59,31,3019.07054009979
"289","B4",1,644,2,5.5,22,21,10.75,363.05030103047
"290","B4",1,642,5,5.8,26,22,12,452.38934211693
"291","B4",1,636,3.5,8.4,30,25,13.75,593.95736106932
