"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob","Yesenia","Victor"
"149","B3",1,445,4.2,7.9,33,19,13,530.929158456675,530.929158456675,1969.7785938008
"150","B3",1,466,3.3,8,27,22,12.25,471.435247579318,471.435247579318,1866.10603623234
"151","B3",1,456,2.5,7.7,23,23,11.5,415.47562843725,415.47562843725,1661.902513749
"152","B3",1,449,2.5,8.8,32,23,13.75,593.95736106932,593.95736106932,2312.21219304209
"153","B3",1,452,3.5,11.1,32,23,13.75,593.95736106932,593.95736106932,2312.21219304209
"154","B3",1,447,3.7,9.6,25,24,12.25,471.435247579318,471.435247579318,1884.95559215388
"155","B3",1,463,3.5,11.7,33,28,15.25,730.616641500476,730.616641500476,2902.83161191697
"156","B3",1,455,4.5,11.4,36,29,16.25,829.576810088555,829.576810088555,3279.82273034774
"157","B3",1,454,4.5,11.4,36,29,16.25,829.576810088555,829.576810088555,3279.82273034774
"158","B3",1,462,3.8,11.8,32,30,15.5,754.767635024948,754.767635024948,3015.9289474462
"159","B3",1,459,4,10.8,33,30,15.75,779.311327631118,779.311327631118,3110.1767270539
"160","B3",1,448,3.5,8.5,31,31,15.5,754.767635024948,754.767635024948,3019.07054009979
"161","B3",1,464,2.5,10.2,33,31,16,804.247719318987,804.247719318987,3213.84928462236
"162","B3",1,451,4.5,10.1,35,32,16.75,881.413088872786,881.413088872786,3518.58377202057
"163","B3",1,453,2.8,11,35,33,17,907.92027688745,907.92027688745,3628.53951489621
"164","B3",1,460,4.5,11.2,46,33,19.75,1225.41748444087,1225.41748444087,4768.93764814931
"165","B3",1,457,4.5,12.6,36,34,17.5,962.112750161874,962.112750161874,3845.30940799391
"166","B3",1,450,5,12.2,43,42,21.25,1418.62543263664,1418.62543263664,5673.71633238317
"167","B3",1,450,4.5,10.3,47,42,22.25,1555.2847130678,1555.2847130678,6201.50389818625
"168","B3",1,950,4,11.7,32,45,19.25,1164.15642769587,1164.15642769587,4523.8934211693
"169","B3",2,498,2.5,5.3,19,10,7.25,165.129963854314,165.129963854314,596.902604182061
"170","B3",2,487,4.8,12,38,21,14.75,683.492751696629,683.492751696629,2506.99093756465
"171","B3",2,489,3.5,9.5,33,22,13.75,593.95736106932,593.95736106932,2280.79626650619
"172","B3",2,494,3.5,9.8,33,24.5,14.375,649.180669433203,649.180669433203,2539.97766042735
"173","B3",2,492,5,12.1,35,26,15.25,730.616641500476,730.616641500476,2858.84931476671
"174","B3",2,503,3,11.2,39,28,16.75,881.413088872786,881.413088872786,3430.61917772005
"175","B3",2,493,4,12.6,39,29,17,907.92027688745,907.92027688745,3553.14129121006
"176","B3",2,497,4.2,11.4,42,29,17.75,989.798035421634,989.798035421634,3826.45985207237
"177","B3",2,496,4.5,11.6,33,31,16,804.247719318987,804.247719318987,3213.84928462236
"178","B3",2,490,4.7,13.9,36,31,16.75,881.413088872786,881.413088872786,3506.01740140621
"179","B3",2,501,4,17.3,34,32,16.5,855.298599939821,855.298599939821,3418.0528071057
"180","B3",2,502,4.5,14.4,47,32,19.75,1225.41748444087,1225.41748444087,4724.95535099905
"181","B3",2,506,4.5,11.1,40,33,18.25,1046.34670318625,1046.34670318625,4146.90230273853
"182","B3",2,505,3,12.4,38,34,18,1017.87601976309,1017.87601976309,4058.93770843801
"183","B3",2,500,3.5,12.2,36,35,17.75,989.798035421634,989.798035421634,3958.40674352314
"184","B3",2,488,5.5,14.8,28,36,16,804.247719318987,804.247719318987,3166.72539481851
"185","B3",2,915,3.3,12.2,19,39,14.5,660.519855417254,660.519855417254,2327.92015631004
"186","B3",2,504,3.3,8.1,44,39,20.75,1352.65198691126,1352.65198691126,5390.97299356009
"187","B3",2,499,6.5,13.3,50,42,23,1661.902513749,1661.902513749,6597.34457253857
"188","B3",3,394,2,3.2,15,7.5,5.625,99.4019550549895,99.4019550549895,353.429173528852
"189","B3",3,397,1,3,12.5,8,5.125,82.5158945419444,82.5158945419444,314.159265358979
"190","B3",3,398,2.3,5.2,17.5,11.5,7.25,165.129963854314,165.129963854314,632.245521534946
"191","B3",3,391,1,3.8,14,12,6.5,132.732289614169,132.732289614169,527.787565803085
"192","B3",3,396,1.8,5.1,17,15.5,8.125,207.394202522139,207.394202522139,827.80966422091
"193","B3",3,387,4,4.9,21,18,9.75,298.64765163188,298.64765163188,1187.52202305694
"194","B3",3,395,2.5,5.2,12.5,19,7.875,194.82783190778,194.82783190778,746.128255227576
