"","Individuo","Bloque.x","Tratamiento.x","AlturaTallo.x","DiamTallo.x","CobVeg_anc.x","CobVeg_lar.x","Rad.prom.x","Area.cob.x","Bloque.y","Tratamiento.y","AlturaTallo.y","DiamTallo.y","CobVeg_anc.y","CobVeg_lar.y","Rad.prom.y","Area.cob.y","dif.tallo","dif.alt","dif.cob"
"52",272,"B2",3,2,3.7,15,15,7.5,176.714586764426,"B2",3,2.5,7.8,26,24,12.5,490.873852123405,4.1,0.5,314.159265358979
"53",273,"B2",3,2.2,5.7,13,13,6.5,132.732289614169,"B2",3,2,7,26,25,12.75,510.705155749191,1.3,0,377.972866135022
"54",274,"B2",3,1,2.7,10,8,4.5,63.6172512351933,"B2",3,2,3.5,17,15,8,201.061929829747,0.8,1,137.444678594553
"55",275,"B2",3,3.2,6.3,23,16,9.75,298.64765163188,"B2",3,3.5,8.6,36,35.5,17.875,1003.78794020715,2.3,0.3,705.140288575272
"56",277,"B2",3,1,2.5,5,3,2,12.5663706143592,"B2",3,2,2,4,3,1.75,9.62112750161874,0,1,0
"57",278,"B2",3,2.2,4.8,17.5,13,7.625,182.654160375119,"B2",3,3,4.3,21,19,10,314.159265358979,0,0.8,131.50510498386
"58",279,"B2",3,2,3.7,19,13.7,8.175,209.954600534814,"B2",3,2,4.2,22,19,10.25,330.063578167778,0.5,0,120.108977632963
"59",280,"B2",7,4.5,11.4,45,42,21.75,1486.16967468882,"B2",7,5,11.9,45,34,19.75,1225.41748444087,0.5,0.5,0
"60",281,"B2",7,3.2,12.9,27,27,13.5,572.55526111674,"B2",7,5,12.9,49,37,21.5,1452.20120412188,0,1.8,879.645943005142
"61",282,"B2",7,3.5,10.8,36,32,17,907.92027688745,"B2",7,3,10.8,40,35,18.75,1104.46616727766,0,0,196.545890390212
"62",283,"B2",7,3.5,7.6,31,21,13,530.929158456675,"B2",7,3.5,8.1,40,30,17.5,962.112750161874,0.5,0,431.183591705199
"63",284,"B2",7,5.2,11.1,36,33,17.25,934.820163983813,"B2",7,2.5,12.6,53,41,23.5,1734.94454294496,1.5,0,800.124378961151
"64",285,"B2",7,4.3,12.6,36,30,16.5,855.298599939821,"B2",7,6,13.8,56,48,26,2123.7166338267,1.2,1.7,1268.41803388688
"65",286,"B2",7,3,7.6,31,27,14.5,660.519855417254,"B2",7,2,9,47,30,19.25,1164.15642769587,1.4,0,503.636572278614
"66",287,"B2",7,4.8,9.7,41,37,19.5,1194.59060652752,"B2",7,6.5,10.2,52,49,25.25,2002.96166620434,0.5,1.7,808.371059676824
"67",288,"B2",7,4.2,9.3,35,28,15.75,779.311327631118,"B2",7,5,8.2,48,43,22.75,1625.97054777357,0,0.8,846.659220142449
"68",289,"B2",7,2.8,11.1,30,21,12.75,510.705155749191,"B2",7,3.5,10.8,39,33,18,1017.87601976309,0,0.7,507.170864013902
"69",290,"B2",7,3.4,8.3,23.5,22,11.375,406.492636943392,"B2",7,4.5,9.5,46,32,19.5,1194.59060652752,1.2,1.1,788.097969584127
"70",291,"B2",7,2.5,5.4,25,14,9.75,298.64765163188,"B2",7,3,5.7,20,17,9.25,268.802521422777,0.3,0.5,0
"71",292,"B2",7,4.2,10.7,42,42,21,1385.4423602331,"B2",7,4,11.4,42,34,19,1134.11494794592,0.700000000000001,0,0
"72",293,"B2",7,4.2,12.9,43,31,18.5,1075.21008569111,"B2",7,5,11.9,43,41,21,1385.4423602331,0,0.8,310.232274541992
"73",295,"B2",7,4,8.1,29,22,12.75,510.705155749191,"B2",7,3.5,7.2,34,30,16,804.247719318987,0,0,293.542563569796
"74",296,"B2",7,3.7,8.7,38,32,17.5,962.112750161874,"B2",7,4.3,8.7,33,30,15.75,779.311327631118,0,0.6,0
"75",297,"B2",7,3.3,11.9,34,32,16.5,855.298599939821,"B2",7,4.5,11.9,42,39,20.25,1288.24933751266,0,1.2,432.950737572843
"76",298,"B2",7,3,9.1,33.5,22,13.875,604.805673201247,"B2",7,3.5,8.6,36,30,16.5,855.298599939821,0,0.5,250.492926738574
"77",299,"B2",7,4,10.2,35,33,17,907.92027688745,"B2",7,5,11.4,47,44,22.75,1625.97054777357,1.2,1,718.050270886117
"78",299,"B2",7,4,10.2,35,33,17,907.92027688745,"B2",7,4.5,9.2,43,37,20,1256.63706143592,0,0.5,348.716784548467
"79",300,"B2",2,3,8.6,24,19,10.75,363.05030103047,"B2",2,4.2,10.7,43,36,19.75,1225.41748444087,2.1,1.2,862.367183410398
"80",301,"B2",2,3.3,7.8,22,21,10.75,363.05030103047,"B2",2,5,7.8,44,41,21.25,1418.62543263664,0,1.7,1055.57513160617
"81",302,"B2",2,3.5,10.3,39,34.5,18.375,1060.72930705347,"B2",2,6,10,53,51,26,2123.7166338267,0,2.5,1062.98732677323
"82",303,"B2",2,3.2,10.7,31,30,15.25,730.616641500476,"B2",2,3,13.5,40,39,19.75,1225.41748444087,2.8,0,494.800842940392
"83",304,"B2",2,5,12.7,41,30,17.75,989.798035421634,"B2",2,5,13.6,50,49,24.75,1924.4218498646,0.9,0,934.623814442963
"84",305,"B2",2,4.3,10.6,31,29,15,706.858347057703,"B2",2,7.3,10.7,40,39,19.75,1225.41748444087,0.0999999999999996,3,518.559137383165
